90,-90,86,-85,100,-101,13,-8,65,-41,1,-48,0.2302,0.2355,0.3275,0.3277,0.4867,0.489,0.1079,0.099,0.3547,0.3355,0.5291,0.5802,1
88,-92,89,-86,103,-100,7,-16,40,-64,48,-2,0.2345,0.2345,0.3436,0.3324,0.4867,0.4908,0.0921,0.1157,0.344,0.3594,0.5903,0.5402,1
-90,90,-75,85,-86,103,-8,13,-45,69,-51,0,0.2299,0.2293,0.3094,0.3412,0.4625,0.48,0.0868,0.0977,0.3256,0.3366,0.5602,0.4997,1
-90,92,-85,72,-101,87,-12,10,-69,43,-1,51,0.2286,0.2364,0.3424,0.3094,0.4835,0.4581,0.0956,0.0922,0.3383,0.3139,0.5047,0.5639,1
-92,90,-86,79,-93,94,-9,13,-44,69,-49,1,0.232,0.2253,0.3324,0.316,0.4857,0.4635,0.0948,0.1036,0.3229,0.3401,0.5547,0.5072,1
-90,92,-80,85,-94,94,-13,9,-69,43,-2,50,0.2254,0.2334,0.3172,0.3313,0.4655,0.4838,0.1053,0.0956,0.3424,0.3204,0.5112,0.559,1
88,-90,87,-90,90,-95,11,-11,35,-53,41,-20,0.2555,0.259,0.3592,0.3563,0.4976,0.5134,0.1147,0.1124,0.3587,0.3623,0.6019,0.5839,1
88,-94,87,-94,103,-94,12,-12,38,-61,45,-8,0.2421,0.2492,0.3575,0.3719,0.5023,0.5121,0.1234,0.1209,0.3557,0.3661,0.5901,0.5527,1
90,-90,97,-86,92,-101,11,-13,64,-38,8,-45,0.2418,0.2418,0.362,0.3512,0.507,0.5063,0.122,0.1228,0.3596,0.3567,0.5524,0.5894,1
90,-92,85,-94,103,-92,12,-12,39,-62,44,-7,0.2382,0.239,0.345,0.3556,0.4929,0.5154,0.1204,0.1156,0.3436,0.3514,0.5763,0.5349,1
90,-92,95,-84,92,-102,11,-13,64,-37,8,-45,0.2431,0.2465,0.3609,0.3488,0.5068,0.5046,0.1213,0.123,0.3597,0.3531,0.5557,0.5913,1
90,-92,86,-95,102,-95,12,-12,37,-61,44,-7,0.2431,0.2452,0.3544,0.3653,0.5039,0.5112,0.1237,0.1205,0.3526,0.3642,0.5855,0.5519,1
88,-94,98,-84,90,-102,11,-13,64,-38,9,-45,0.2441,0.2541,0.3693,0.3544,0.5023,0.51,0.1251,0.1254,0.3664,0.3651,0.5692,0.5992,1
88,-98,95,-86,96,-96,9,-14,69,-43,-1,-50,0.2355,0.2386,0.3603,0.3325,0.5063,0.4999,0.1326,0.1149,0.3466,0.3596,0.5191,0.6251,1
94,-88,87,-97,97,-95,14,-9,43,-68,50,2,0.2252,0.2296,0.3202,0.3513,0.51,0.4942,0.1163,0.1262,0.3455,0.3464,0.5948,0.5047,1
90,-100,90,-90,98,-94,8,-16,69,-42,2,-47,0.2416,0.2372,0.3506,0.3432,0.5022,0.5029,0.1298,0.1088,0.3372,0.3618,0.5204,0.6212,1
94,-88,92,-91,94,-97,16,-7,42,-69,49,-1,0.2278,0.2385,0.3412,0.349,0.5041,0.4983,0.1172,0.127,0.3556,0.3365,0.6094,0.5143,1
86,-96,92,-89,94,-93,6,-16,67,-43,7,-47,0.243,0.238,0.3598,0.3375,0.5037,0.4971,0.122,0.108,0.3291,0.3683,0.5261,0.6238,1
99,-88,88,-92,94,-94,16,-6,42,-68,48,-5,0.2379,0.2429,0.3365,0.3596,0.4991,0.5013,0.115,0.1233,0.361,0.3325,0.6198,0.526,1
84,-94,92,-90,93,-92,6,-17,66,-42,8,-47,0.2367,0.2371,0.3586,0.3438,0.5018,0.4957,0.1208,0.1121,0.3324,0.3642,0.5285,0.6106,1
92,-88,89,-90,93,-92,16,-6,42,-65,47,-8,0.2406,0.2466,0.3453,0.3624,0.493,0.5059,0.1137,0.1202,0.3699,0.3396,0.6204,0.5376,1
82,-92,87,-87,91,-93,7,-15,66,-42,8,-47,0.2417,0.2436,0.353,0.3467,0.4961,0.4939,0.1189,0.1085,0.3339,0.3626,0.5301,0.6135,1
92,-86,87,-86,93,-89,14,-9,41,-65,47,-6,0.2446,0.2468,0.3465,0.3536,0.4882,0.4998,0.113,0.1154,0.3608,0.3401,0.6144,0.5302,1
86,-94,93,-90,92,-91,8,-14,63,-40,7,-46,0.2533,0.254,0.3695,0.3575,0.514,0.4975,0.1297,0.1225,0.3567,0.3794,0.557,0.6417,1
92,-84,90,-93,91,-91,12,-10,41,-62,48,-6,0.2547,0.2524,0.3602,0.366,0.498,0.5115,0.127,0.1303,0.3761,0.3591,0.6328,0.5569,1
86,-96,92,-88,94,-99,10,-14,63,-41,8,-46,0.2467,0.2525,0.3755,0.3548,0.5087,0.4946,0.1233,0.1197,0.354,0.3779,0.5571,0.6442,1
92,-88,90,-92,99,-91,12,-11,40,-62,48,-7,0.2473,0.2488,0.3587,0.3697,0.4937,0.5051,0.1205,0.1219,0.3681,0.3617,0.6447,0.559,1
90,-92,91,-85,94,-89,8,-13,53,-36,20,-40,0.2612,0.2608,0.3588,0.3506,0.5118,0.4964,0.1077,0.1167,0.3623,0.3639,0.5898,0.6114,1
90,-90,88,-93,92,-95,11,-11,36,-54,42,-17,0.2529,0.2514,0.3612,0.361,0.4999,0.5147,0.1201,0.1175,0.3557,0.3598,0.5992,0.5783,1
90,-90,94,-88,95,-92,10,-12,56,-37,19,-42,0.2518,0.2507,0.3687,0.3483,0.5129,0.5002,0.1175,0.1167,0.3505,0.3589,0.578,0.6054,1
92,-90,84,-93,98,-97,12,-10,37,-62,44,-11,0.2501,0.2436,0.3443,0.3587,0.5016,0.5147,0.1275,0.1225,0.3513,0.3539,0.5881,0.5557,1
90,-92,93,-84,98,-98,10,-13,62,-37,12,-44,0.25,0.251,0.3683,0.3472,0.5103,0.5071,0.125,0.1254,0.355,0.3556,0.565,0.6031,1
90,-92,88,-95,98,-97,12,-12,39,-64,44,-7,0.2444,0.2453,0.3496,0.3627,0.5046,0.5143,0.1264,0.1261,0.3599,0.3681,0.5988,0.5643,1
88,-92,97,-86,91,-98,10,-12,64,-38,8,-45,0.2485,0.2487,0.3677,0.3536,0.5001,0.5125,0.1256,0.1223,0.3646,0.365,0.5695,0.6098,1
90,-90,88,-95,99,-97,12,-10,38,-64,44,-10,0.2403,0.2385,0.3476,0.3566,0.5003,0.5178,0.1244,0.1214,0.3543,0.3529,0.5866,0.5513,1
88,-94,96,-86,94,-97,9,-13,64,-38,11,-45,0.2466,0.2499,0.3651,0.3522,0.5031,0.5104,0.125,0.1249,0.3547,0.3633,0.5652,0.6053,1
88,-90,89,-95,98,-99,12,-11,38,-63,44,-9,0.2385,0.2419,0.3438,0.3622,0.4983,0.521,0.1265,0.12,0.3581,0.3535,0.5941,0.5518,1
90,-92,96,-87,98,-98,9,-13,63,-38,9,-44,0.2436,0.2409,0.3733,0.3474,0.5172,0.5025,0.1214,0.1253,0.3507,0.3574,0.5549,0.5983,1
90,-92,88,-94,99,-96,12,-11,39,-63,44,-9,0.239,0.2441,0.3464,0.3575,0.4945,0.5215,0.1241,0.1181,0.3577,0.3516,0.5937,0.5498,1
88,-92,97,-87,94,-98,9,-13,64,-38,9,-45,0.2429,0.2427,0.3613,0.3515,0.5176,0.497,0.12,0.1263,0.3514,0.3614,0.5592,0.6029,1
88,-94,82,-88,105,-103,11,-13,38,-59,44,-9,0.2372,0.2407,0.338,0.3466,0.5081,0.5095,0.1135,0.1165,0.3411,0.3572,0.5681,0.5416,1
90,-90,92,-81,101,-104,12,-12,61,-36,11,-46,0.235,0.2374,0.3476,0.3336,0.5125,0.5038,0.1163,0.1151,0.3455,0.342,0.5397,0.569,1
88,-94,88,-93,101,-96,12,-12,38,-61,45,-8,0.2415,0.2485,0.3543,0.362,0.502,0.5169,0.1244,0.1215,0.3587,0.3654,0.5919,0.5563,1
90,-92,95,-86,98,-101,10,-13,62,-37,10,-46,0.2455,0.248,0.3679,0.3607,0.5149,0.507,0.1225,0.1227,0.3609,0.3615,0.5643,0.5987,1
